name,group,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,ID
"TITLE: Grouping volume renderers for enhanced visualization in computational fluid dynamics WORDS: data, volume, analysis, set, volumetric, participate, user, condition, perform, insight, inform, explore, provide, differ, virtual, transfer, simulate, gpu, ray, depth",Grouping volume renderers for enhanced visualization in computational fluid dynamics,7,20,20,6,20,1,9,20,10,4,5,20,20,2,20,20,20,3,8,20,11
"TITLE: Visualization of geometric algorithms WORDS: model, data, use, point, layout, aesthetic, element, text, user, analysis, easy, density, set, energy, develop, technique, number, case, voronoi, game",Visualization of geometric algorithms,4,20,20,2,20,3,20,20,20,20,5,20,20,6,20,1,20,20,20,20,12
"TITLE:  WORDS: field, data, flow, simulate, streamline, particle, vector, user, analysis, set, line, virtual, compute, inform, explore, provide, differ, approach, integral, deform",,20,20,20,7,20,1,4,20,2,20,3,6,20,20,20,20,5,8,20,20,13
"TITLE: Optical models for direct volume rendering WORDS: volume, light, volumetric, participate, color, walk, dynamic, aspect, material, visual, illuminant, cloud, region, data, use, transport, algorithm, compute, model, research",Optical models for direct volume rendering,3,5,20,20,20,4,20,20,20,20,20,20,20,20,20,20,20,1,2,20,14
"TITLE: Calibration requirements and procedures for a monitor-based augmented reality system WORDS: image, video, project, object, camera, scene, track, view, user, viewpoint, real, edit, match, virtual, registration, estimate, robust, data, parameter, augment",Calibration requirements and procedures for a monitor-based augmented reality system,6,20,20,3,8,4,7,1,20,20,2,20,20,20,20,20,5,20,9,20,15
"TITLE: Line art rendering via a coverage of isoparametric curves WORDS: model, intersect, rigid, stabilize, point, layout, solid, parts, image, aesthetic, locomotion, object, handle, material, function, reflect, stable, analytic, shape, text",Line art rendering via a coverage of isoparametric curves,1,3,20,20,20,20,20,20,6,20,20,20,5,20,20,2,20,20,4,20,16
"TITLE: Dynamic color quantization of video sequences WORDS: light, color, walk, dynamic, illuminant, image, use, compute, algorithm, approach, local, source, method, map, shadow, interact, result, render, present, global",Dynamic color quantization of video sequences,20,6,20,20,20,20,20,3,20,20,5,20,20,20,4,20,2,20,1,20,17
"TITLE: On particle path generation based on quadrilinear interpolation and Bernstein-Bezier polynomials WORDS: field, flow, streamline, particle, vector, line, technique, integral, mesh, general, surface, visual, decomposition, fluid, grid, allow, discrete, algorithm, topology, boundary",On particle path generation based on quadrilinear interpolation and Bernstein-Bezier polynomials,20,20,20,20,2,20,20,20,1,20,20,20,20,20,20,3,20,20,20,4,18
"TITLE: A unified hierarchical algorithm for global illumination with scattering volumes and object clusters WORDS: model, light, element, surface, energy, develop, color, volume, framework, walk, dynamic, simulate, illuminant, physics, assess, perception, use, optimal, algorithm, compute",A unified hierarchical algorithm for global illumination with scattering volumes and object clusters,20,20,20,1,4,20,20,8,20,20,9,20,20,7,20,6,3,5,2,20,19
"TITLE: Collision detection for interactive graphics applications WORDS: simulate, perform, deform, light, gpu, ray, depth, distance, model, body, implement, parallel, character, time, contact, achieve, memory, color, mesh, data",Collision detection for interactive graphics applications,9,20,20,20,5,4,2,20,20,20,8,20,20,1,20,7,20,20,3,6,20
"TITLE: Hybrid scan-conversion of circles WORDS: graph, draw, diagram, node, optimal, domain, tree, trajectory, metric, quality, contour, cell, isosurface, scheme, mesh, propose, problem, general, label, neighborhood",Hybrid scan-conversion of circles,20,20,20,20,20,5,20,20,20,20,20,20,2,4,6,20,1,20,3,20,21
"TITLE: Modeling and visualization of knitwear WORDS: model, element, volume, energy, develop, method, framework, novel, approach, simulate, base, assess, general, perception, control, physics, volumetric, participate, mesh, render",Modeling and visualization of knitwear,20,20,20,1,3,20,20,20,20,20,20,4,20,20,20,20,20,2,20,20,22
"TITLE: Specification by-example of virtual agents behavior WORDS: user, virtual, data, interact, model, study, environment, task, experience, visual, intersect, rigid, applicator, analysis, stabilize, set, plan, reality, control, conduct",Specification by-example of virtual agents behavior,2,5,20,4,8,3,20,20,20,20,1,20,20,7,20,6,20,20,20,20,23
"TITLE: Exploiting triangulated surface extraction using tetrahedral decomposition WORDS: surface, topology, data, boundary, process, geometric, shape, perform, local, connect, open, complex, progress, robust, volume, gpu, simulate, construct, distance, depth",Exploiting triangulated surface extraction using tetrahedral decomposition,9,6,20,20,1,3,5,20,20,20,20,20,10,2,20,8,4,7,20,20,24
"TITLE: Octree-R: an adaptive octree for efficient ray tracing WORDS: algorithm, perform, render, gpu, ray, distance, depth, user, model, implement, parallel, present, virtual, memory, result, achieve, surface, order, efficient, interact",Octree-R: an adaptive octree for efficient ray tracing,2,20,20,20,20,20,20,20,20,20,3,20,20,1,20,20,20,20,20,4,25
"TITLE: Automatic isosurface propagation using an extrema graph and sorted boundary cell lists WORDS: graph, surface, draw, diagram, tree, contour, approach, cell, isosurface, topology, label, boundary, edge, visual, compatible, process, geometric, shape, structure, scalar",Automatic isosurface propagation using an extrema graph and sorted boundary cell lists,20,20,20,20,2,20,20,20,20,20,20,20,1,20,20,4,3,20,20,20,26
"TITLE: D-NURBS: a physics-based framework for geometric design WORDS: element, energy, develop, technique, physics, assess, perception, surface, automatic, simulate, optimal, topic, domain, geometry, capture, parameterize, user, trajectory, metric, quality",D-NURBS: a physics-based framework for geometric design,9,2,20,1,4,20,5,8,20,20,7,20,20,20,10,20,3,20,6,11,27
"TITLE: Function representation for sweeping by a moving solid WORDS: optimal, domain, trajectory, metric, quality, visual, propose, scheme, mesh, problem, general, data, neighborhood, base, origin, novel, given, movement, efficient, intersect",Function representation for sweeping by a moving solid,2,20,9,6,4,3,7,20,20,20,20,20,20,20,20,5,1,20,8,20,28
"TITLE: Shape description by medial surface construction WORDS: surface, optimal, domain, topology, algorithm, trajectory, quality, metric, boundary, point, process, scheme, general, mesh, problem, geometric, shape, edge, local, connect",Shape description by medial surface construction,3,20,20,20,2,4,20,20,20,20,20,20,20,20,20,20,1,20,20,5,29
"TITLE: Volume-preserving free-form solids WORDS: model, element, volume, energy, develop, novel, simulate, perception, physics, assess, general, data, algorithm, volumetric, participate, render, perform, shape, surface, intersect",Volume-preserving free-form solids,2,5,20,1,20,6,10,20,20,20,7,20,20,3,9,20,20,4,20,8,30
"TITLE: A fast method for estimating discrete field values in early engineering design WORDS: field, flow, image, shape, surface, optimal, domain, trajectory, metric, algorithm, quality, streamline, particle, map, automatic, sample, vector, method, line, scheme",A fast method for estimating discrete field values in early engineering design,20,2,20,5,20,10,9,20,3,8,20,20,20,7,20,4,1,20,20,6,31
"TITLE: A road map to solid modeling WORDS: model, field, data, flow, element, particle, streamline, energy, develop, vector, line, novel, framework, analysis, set, simulate, base, user, assess, perception",A road map to solid modeling,4,6,20,1,8,2,20,9,3,20,7,12,13,11,20,5,20,20,10,20,32
"TITLE: Solving geometric constraints by homotopy WORDS: field, flow, use, point, layout, aesthetic, text, streamline, particle, vector, easy, density, line, model, game, number, case, voronoi, embedded, outcome",Solving geometric constraints by homotopy,20,20,20,3,20,20,20,20,2,20,20,20,20,20,20,1,5,20,20,4,33
"TITLE: An algorithm for the medial axis transform of 3D polyhedral solids WORDS: surface, field, topology, boundary, point, process, geometric, shape, edge, image, local, connect, flow, open, complex, structure, progress, construct, paper, video",An algorithm for the medial axis transform of 3D polyhedral solids,3,4,20,7,1,20,20,6,5,20,8,20,20,9,20,20,2,20,20,20,34
"TITLE: Efficient triangular surface approximations using wavelets and quadtree data structures WORDS: surface, topology, boundary, process, geometric, shape, edge, field, connect, open, complex, progress, sample, data, method, construct, image, simulate, filter, flow",Efficient triangular surface approximations using wavelets and quadtree data structures,20,20,20,4,1,3,6,5,7,20,20,20,20,9,20,11,10,20,8,2,35
"TITLE: Controlled topology simplification WORDS: surface, topology, boundary, sample, point, method, process, geometric, shape, edge, local, connect, open, complex, structure, progress, filter, construct, image, optimal",Controlled topology simplification,20,20,20,20,1,20,6,4,20,20,20,20,20,5,20,20,2,20,20,3,36
"TITLE: Interactive time-dependent particle tracing using tetrahedral decomposition WORDS: field, flow, streamline, particle, vector, line, simulate, data, render, perform, technique, integral, gpu, depth, ray, distance, feature, compute, deform, implement",Interactive time-dependent particle tracing using tetrahedral decomposition,20,8,20,20,20,4,3,7,1,20,6,20,20,2,20,20,5,20,20,20,37
"TITLE:  WORDS: field, algorithm, flow, perform, render, gpu, ray, depth, distance, data, implement, parallel, present, streamline, particle, vector, memory, result, achieve, line",,4,20,20,20,20,3,20,20,2,20,7,20,6,1,20,20,20,20,20,5,38
"TITLE: Feature extraction and iconic visualization WORDS: visual, data, analysis, set, user, design, model, explore, inform, differ, provide, study, result, task, network, structure, time, paper, surface, element",Feature extraction and iconic visualization,2,20,20,3,20,1,20,20,20,20,20,20,20,20,20,20,4,20,20,20,39
"TITLE: Splatting of non rectilinear volumes through stochastic resampling WORDS: volume, sample, method, filter, field, reconstruct, volumetric, participate, estimate, render, model, propose, insight, transfer, flow, normal, bundle, approach, weight, video",Splatting of non rectilinear volumes through stochastic resampling,20,20,20,4,20,20,20,5,6,3,8,7,20,20,9,20,20,2,20,1,40
"TITLE: Volumetric data exploration using interval volume WORDS: graph, data, volume, mesh, surface, draw, diagram, volumetric, participate, analysis, set, user, render, tree, contour, cell, isosurface, inform, explore, provide",Volumetric data exploration using interval volume,5,6,20,20,3,1,8,9,20,20,20,20,2,10,20,7,20,4,20,20,41
"TITLE: Glyphs for visualizing uncertainty in vector fields WORDS: quantitative, field, data, record, plot, point, expert, layout, mix, insight, flow, transfer, qualitative, aesthetic, tile, bundle, wind, turbulent, patient, text",Glyphs for visualizing uncertainty in vector fields,20,20,20,8,20,4,20,20,5,3,20,1,7,20,9,2,20,20,6,20,42
"TITLE:  WORDS: data, volume, user, model, analysis, set, virtual, volumetric, participate, render, explore, inform, provide, differ, study, environment, shape, surface, structure, time",,20,5,20,3,20,1,20,20,20,20,2,20,20,20,20,20,20,4,20,20,43
"TITLE: Frequency analysis of gradient estimators in volume rendering WORDS: sample, method, filter, reconstruct, estimate, propose, normal, weight, approach, use, function, noise, compute, base, framework, feature, interpolant, smooth, paper, demonstrate",Frequency analysis of gradient estimators in volume rendering,2,20,20,20,20,3,20,20,20,20,20,20,5,6,20,20,20,4,20,1,44
"TITLE: A real-time photo-realistic visual flythrough WORDS: algorithm, perform, render, gpu, ray, depth, distance, compute, method, implement, parallel, present, memory, achieve, model, efficient, propose, order, approach, texture",A real-time photo-realistic visual flythrough,20,20,3,2,20,20,20,20,20,20,20,20,4,1,5,20,20,20,20,20,45
"TITLE: RIVA: a versatile parallel rendering system for interactive scientific visualization WORDS: model, data, volume, user, virtual, volumetric, participate, perform, element, render, analysis, gpu, set, ray, depth, distance, study, energy, develop, implement",RIVA: a versatile parallel rendering system for interactive scientific visualization,20,20,20,1,20,2,20,20,20,20,4,20,20,3,6,20,7,5,20,8,46
"TITLE: Analysis of a parallel volume rendering system based on the shear-warp factorization WORDS: perform, render, data, gpu, ray, depth, distance, implement, parallel, present, memory, achieve, order, analysis, set, user, design, interact, inform, explore",Analysis of a parallel volume rendering system based on the shear-warp factorization,20,20,20,20,20,2,20,20,20,7,20,20,6,1,3,20,5,20,20,4,47
"TITLE: Image composition schemes for sort-last polygon rendering on 2D mesh multicomputers WORDS: volume, algorithm, perform, gpu, volumetric, participate, ray, depth, distance, compute, visual, render, method, implement, parallel, data, achieve, memory, use, efficient",Image composition schemes for sort-last polygon rendering on 2D mesh multicomputers,20,20,20,20,5,3,4,6,20,20,20,20,20,1,7,20,20,2,20,20,48
"TITLE: Fractal volume compression WORDS: volume, volumetric, participate, video, render, project, object, perform, gpu, optimal, camera, domain, ray, depth, distance, data, implement, graph, trajectory, metric",Fractal volume compression,20,20,20,20,9,5,20,4,8,20,20,20,6,2,20,20,1,3,20,7,49
"TITLE: Implementation and analysis of an image-based global illumination framework for animated environments WORDS: light, sample, color, method, walk, dynamic, illuminant, filter, motion, display, reconstruct, estimate, algorithm, user, propose, source, local, map, shadow, result",Implementation and analysis of an image-based global illumination framework for animated environments,20,7,20,20,20,5,20,6,20,20,4,20,20,8,3,20,20,20,1,2,50
"TITLE: Structured penumbral irradiance computation WORDS: surface, data, topology, boundary, point, process, geometric, shape, edge, light, model, connect, sample, open, complex, progress, method, construct, intersect, rigid",Structured penumbral irradiance computation,2,20,20,6,1,3,20,11,20,20,20,9,20,8,20,20,4,10,5,7,51
"TITLE: Visualizing unstructured flow data using dual stream functions WORDS: field, flow, streamline, particle, vector, line, light, integral, optimal, feature, domain, color, decomposition, fluid, grid, allow, trajectory, quality, metric, dynamic",Visualizing unstructured flow data using dual stream functions,20,20,20,20,4,20,20,20,1,20,20,20,5,20,20,20,2,20,3,20,52
"TITLE: Reconstruction error characterization and control: a sampling theory approach WORDS: sample, method, filter, reconstruct, estimate, propose, field, normal, weight, approach, data, use, function, noise, compute, base, framework, feature, interpolant, demonstrate",Reconstruction error characterization and control: a sampling theory approach,20,20,9,3,20,2,5,20,4,20,20,20,20,20,20,20,6,8,7,1,53
"TITLE: Interactive display of large NURBS models WORDS: perform, render, gpu, distance, depth, ray, compute, implement, parallel, present, achieve, memory, order, approach, insight, transfer, surface, bundle, turbulent, graph",Interactive display of large NURBS models,20,5,20,6,3,20,20,20,9,2,20,20,7,1,8,20,4,20,20,20,54
"TITLE: Multipole expansion of the light vector WORDS: light, field, color, flow, dynamic, walk, illuminant, algorithm, local, source, streamline, particle, vector, result, map, shadow, interact, present, render, global",Multipole expansion of the light vector,3,20,20,20,6,20,20,20,2,20,5,20,20,20,20,20,20,20,1,4,55
"TITLE: Error and complexity of random walk Monte Carlo radiosity WORDS: field, sample, method, flow, filter, model, reconstruct, estimate, propose, streamline, particle, condition, insight, vector, transfer, normal, line, approach, weight, use",Error and complexity of random walk Monte Carlo radiosity,8,20,20,3,20,20,20,20,4,5,6,20,20,20,20,20,2,9,7,1,56
"TITLE: The discrete analytical hyperspheres WORDS: field, graph, flow, surface, point, layout, streamline, particle, vector, line, aesthetic, model, text, draw, diagram, quantitative, topology, compute, density, easy",The discrete analytical hyperspheres,6,20,20,20,3,20,20,8,2,20,20,7,5,20,20,1,4,20,20,20,57
"TITLE: Incremental algorithms for collision detection between polygonal models WORDS: simulate, light, deform, model, body, optimal, domain, point, color, layout, character, time, contact, trajectory, metric, quality, dynamic, walk, collision, aesthetic",Incremental algorithms for collision detection between polygonal models,9,20,7,20,6,20,2,20,10,20,11,20,20,5,20,3,1,8,4,20,58
"TITLE: Animation of deformable models using implicit surfaces WORDS: simulate, deform, model, body, compute, dynamic, character, time, intersect, rigid, contact, stabilize, collision, fluid, motion, solid, parts, feature, force, facial",Animation of deformable models using implicit surfaces,1,20,20,7,3,5,2,20,20,20,20,20,20,20,20,20,6,4,20,20,59
"TITLE:  WORDS: field, flow, point, layout, aesthetic, text, streamline, particle, vector, density, easy, surface, line, number, case, voronoi, game, hierarchy, design, embedded",,20,20,20,4,3,5,20,20,2,20,20,7,20,20,20,1,6,20,20,20,60
"TITLE: Virtual Data Visualizer WORDS: data, user, analysis, set, virtual, technique, explore, inform, provide, differ, interact, study, environment, time, network, paper, structure, task, experience, result",Virtual Data Visualizer,20,20,20,4,20,1,20,20,20,5,2,20,20,20,20,20,3,20,20,20,61
"TITLE: Tracking and visualizing turbulent 3D features WORDS: data, field, simulate, volume, flow, analysis, set, user, deform, design, streamline, particle, volumetric, participate, model, inform, explore, provide, study, differ",Tracking and visualizing turbulent 3D features,20,20,9,20,20,1,2,6,3,7,20,20,20,8,20,20,4,5,20,20,62
"TITLE: The lazy sweep ray casting algorithm for rendering irregular grids WORDS: render, perform, gpu, field, distance, ray, depth, implement, parallel, present, achieve, memory, image, sample, flow, order, method, filter, graph, video",The lazy sweep ray casting algorithm for rendering irregular grids,20,20,20,5,10,20,20,4,3,20,20,20,8,1,9,7,6,20,20,2,63
"TITLE: Speeding up isosurface extraction using interval trees WORDS: graph, data, draw, diagram, node, tree, light, contour, cell, isosurface, analysis, optimal, set, domain, user, label, design, trajectory, metric, quality",Speeding up isosurface extraction using interval trees,20,20,8,9,6,2,20,20,20,20,20,20,1,5,20,20,3,20,4,7,64
"TITLE: Evaluation and design of filters using a Taylor series expansion WORDS: sample, method, filter, reconstruct, estimate, propose, normal, approach, weight, use, function, noise, compute, base, framework, feature, interpolant, smooth, demonstrate, paper",Evaluation and design of filters using a Taylor series expansion,20,20,20,20,20,2,20,20,20,20,20,20,3,20,20,20,20,20,20,1,65
"TITLE: Fast display of illuminated field lines WORDS: field, flow, light, streamline, particle, vector, line, perform, gpu, color, data, distance, ray, depth, implement, dynamic, walk, integral, parallel, illuminant",Fast display of illuminated field lines,5,8,7,9,20,4,20,20,1,20,20,20,11,2,6,20,20,20,3,10,66
"TITLE: Adaptive real-time level-of-detail based rendering for polygonal models WORDS: light, mesh, color, surface, dynamic, walk, illuminant, motion, display, use, data, algorithm, compute, approach, graph, source, local, topology, method, map",Adaptive real-time level-of-detail based rendering for polygonal models,20,20,20,20,2,5,20,20,8,20,20,7,6,3,4,20,20,20,1,20,67
"TITLE: Conveying the 3D shape of smoothly curving transparent surfaces via texture WORDS: data, image, shape, texture, algorithm, automatic, map, patch, perform, render, topic, analysis, set, geometry, gpu, capture, parameterize, boundary, technique, ray",Conveying the 3D shape of smoothly curving transparent surfaces via texture,20,1,4,20,20,2,20,20,20,20,5,20,20,3,6,7,20,20,20,20,68
"TITLE: Dynamic free-form deformations for animation synthesis WORDS: simulate, deform, model, body, element, data, compute, character, time, dynamic, energy, develop, contact, intersect, rigid, collision, fluid, stabilize, framework, motion",Dynamic free-form deformations for animation synthesis,3,5,20,1,20,4,2,20,20,20,20,6,20,20,20,20,7,20,20,20,69
"TITLE: Complex character positioning based on a compatible flow model of multiple supports WORDS: simulate, deform, motion, display, model, body, dynamic, character, time, contact, predict, collision, quantitative, force, facial, subject, cloth, detect, interact, diverse",Complex character positioning based on a compatible flow model of multiple supports,20,20,20,5,20,7,1,20,20,20,20,3,9,6,2,8,4,20,20,20,70
"TITLE: Physically-based stochastic simplification of mathematical knots WORDS: model, field, element, energy, develop, data, framework, present, simulate, intersect, rigid, flow, stabilize, perception, physics, assess, control, solid, parts, locomotion",Physically-based stochastic simplification of mathematical knots,2,6,20,1,7,3,20,20,5,20,20,20,20,20,20,20,4,20,20,20,71
"TITLE: Converting discrete images to partitioning trees WORDS: optimal, domain, data, metric, algorithm, quality, trajectory, graph, scheme, mesh, problem, general, neighborhood, given, origin, novel, movement, efficient, field, element",Converting discrete images to partitioning trees,20,6,20,2,11,3,8,20,10,20,9,20,5,4,20,20,1,20,20,7,72
"TITLE: A wavelet representation of reflectance functions WORDS: data, model, sample, method, filter, reconstruct, estimate, light, intersect, rigid, propose, stabilize, analysis, set, solid, parts, normal, user, weight, approach",A wavelet representation of reflectance functions,1,20,8,20,20,3,20,5,6,20,20,7,20,20,20,20,20,9,4,2,73
"TITLE: A fast Gibbs sampler for synthesizing constrained fractals WORDS: sample, method, filter, reconstruct, estimate, propose, perform, render, gpu, normal, field, ray, distance, depth, weight, approach, use, noise, compute, function",A fast Gibbs sampler for synthesizing constrained fractals,3,20,5,7,8,20,20,20,4,20,9,20,10,2,20,20,6,20,20,1,74
"TITLE: Out-of-core streamline visualization on large unstructured meshes WORDS: data, perform, render, field, gpu, ray, depth, distance, analysis, compute, set, implement, parallel, present, model, flow, memory, achieve, inform, explore",Out-of-core streamline visualization on large unstructured meshes,20,20,20,4,20,1,20,20,5,20,9,20,8,2,7,6,3,20,20,20,75
"TITLE: Modeling and visualization for a pearl-quality evaluation simulator WORDS: volume, light, simulate, color, element, perform, user, volumetric, participate, video, data, gpu, walk, dynamic, energy, develop, project, object, ray, depth",Modeling and visualization for a pearl-quality evaluation simulator,11,4,12,1,14,9,6,7,13,20,8,20,20,2,20,10,20,5,3,20,76
"TITLE: Multiresolution representation and visualization of volume data WORDS: data, surface, analysis, set, perform, user, gpu, design, ray, depth, distance, inform, explore, provide, study, differ, implement, task, topology, optimal",Multiresolution representation and visualization of volume data,20,20,20,20,4,1,20,7,20,20,9,20,6,2,20,20,3,8,5,20,77
"TITLE: Breadth-first ray tracing utilizing uniform spatial subdivision WORDS: perform, render, image, gpu, ray, depth, distance, compute, optimal, implement, method, domain, video, parallel, use, trajectory, metric, algorithm, quality, present",Breadth-first ray tracing utilizing uniform spatial subdivision,3,20,20,5,20,6,20,4,20,20,20,20,20,1,20,20,2,20,20,20,78
"TITLE: A visibility matching tone reproduction operator for high dynamic range scenes WORDS: light, image, model, color, video, project, dynamic, walk, object, illuminant, camera, use, compute, algorithm, approach, scene, local, source, global, method",A visibility matching tone reproduction operator for high dynamic range scenes,20,20,20,3,20,20,20,2,20,20,20,20,20,4,20,20,20,20,1,20,79
"TITLE: A high accuracy volume renderer for unstructured data WORDS: graph, volume, simulate, sample, method, draw, diagram, volumetric, participate, algorithm, render, tree, filter, point, layout, contour, reconstruct, isosurface, cell, perform",A high accuracy volume renderer for unstructured data,6,20,20,10,9,11,7,12,20,20,20,8,1,3,20,2,20,4,20,5,80
"TITLE: Fast horizon computation at all points of a terrain with visibility and shading applications WORDS: algorithm, perform, render, gpu, ray, distance, depth, implement, parallel, present, achieve, memory, result, efficient, order, sample, method, filter, point, layout",Fast horizon computation at all points of a terrain with visibility and shading applications,20,20,20,20,20,20,5,4,20,20,20,20,20,1,20,2,20,20,20,3,81
"TITLE: Line art illustrations of parametric and implicit forms WORDS: field, flow, model, volume, streamline, particle, automatic, map, vector, line, topic, volumetric, participate, geometry, intersect, rigid, capture, parameterize, stabilize, render",Line art illustrations of parametric and implicit forms,2,1,20,20,7,20,20,20,3,6,20,20,20,5,20,20,20,4,20,20,82
"TITLE: Calibration-free augmented reality WORDS: image, video, project, object, camera, scene, track, view, viewpoint, match, real, edit, robust, estimate, registration, parameter, augment, shape, surface, light",Calibration-free augmented reality,20,3,20,20,20,20,6,1,20,20,5,20,20,20,20,20,2,20,4,20,83
"TITLE: Efficient collision detection using bounding volume hierarchies of k-DOPs WORDS: simulate, deform, model, body, user, dynamic, character, time, perform, render, contact, gpu, collision, fluid, ray, distance, depth, motion, virtual, compute",Efficient collision detection using bounding volume hierarchies of k-DOPs,20,20,20,4,20,20,1,5,20,20,3,7,20,2,20,6,8,20,20,20,84
"TITLE:  WORDS: volume, light, volumetric, participate, model, data, texture, color, surface, walk, dynamic, illuminant, perform, patch, material, aspect, gpu, intersect, rigid, stabilize",,2,20,10,5,7,6,20,20,20,20,20,12,20,4,20,9,8,3,1,11,85
"TITLE: Visualizing nonlinear vector field topology WORDS: field, flow, mesh, streamline, particle, surface, image, vector, line, automatic, map, topology, technique, integral, topic, general, feature, boundary, geometry, visual",Visualizing nonlinear vector field topology,20,2,20,20,3,20,20,20,1,20,20,20,20,4,20,20,20,20,20,20,86
"TITLE: Structure-significant representation of structured datasets WORDS: data, field, flow, simulate, perform, analysis, gpu, set, ray, depth, distance, streamline, particle, implement, surface, user, vector, deform, line, parallel",Structure-significant representation of structured datasets,20,20,20,11,6,1,5,20,4,20,7,20,20,2,20,9,3,20,10,8,87
"TITLE: Splatting errors and antialiasing WORDS: volume, sample, method, volumetric, participate, filter, reconstruct, estimate, propose, normal, aspect, material, approach, weight, use, compute, noise, function, feature, base",Splatting errors and antialiasing,20,20,20,20,20,9,20,20,8,6,5,20,20,3,20,20,4,2,7,1,88
"TITLE: RSVP: a geometric toolkit for controlled repair of solid models WORDS: surface, data, topology, boundary, point, process, geometric, shape, connect, image, open, complex, progress, robust, construct, analysis, set, user, model, design",RSVP: a geometric toolkit for controlled repair of solid models,5,3,20,4,1,2,20,20,8,20,20,20,11,6,20,20,10,20,9,7,89
"TITLE: A new line integral convolution algorithm for visualizing time-varying flow fields WORDS: field, flow, streamline, particle, vector, line, data, technique, integral, texture, feature, general, decomposition, visual, grid, allow, fluid, perform, simulate, discrete",A new line integral convolution algorithm for visualizing time-varying flow fields,20,20,4,7,20,2,5,20,1,20,20,20,20,3,20,20,20,20,6,20,90
"TITLE: Efficient polygon clipping for an SIMD graphics pipeline WORDS: perform, gpu, ray, depth, distance, implement, parallel, achieve, memory, efficient, propose, order, mesh, surface, field, topology, data, boundary, light, process",Efficient polygon clipping for an SIMD graphics pipeline,20,20,20,6,2,3,20,8,5,20,20,20,20,1,20,7,20,20,4,20,91
"TITLE: Memory-efficient ray classification for visibility operations WORDS: graph, draw, diagram, perform, render, node, gpu, tree, image, distance, ray, depth, compute, contour, implement, cell, isosurface, parallel, present, label",Memory-efficient ray classification for visibility operations,4,20,20,20,20,7,20,3,20,6,20,20,2,1,20,20,5,20,20,20,92
"TITLE: The Information Mural: a technique for displaying and navigating large information spaces WORDS: data, user, image, virtual, video, analysis, set, project, object, study, technique, environment, camera, task, inform, explore, provide, differ, experience, scene",The Information Mural: a technique for displaying and navigating large information spaces,20,20,20,9,8,1,20,3,20,20,2,20,20,20,6,4,20,20,5,7,93
