name,group,T0,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,T24,T25,T26,T27,T28,T29
"max, b8f, a86, apr, path, gmt, 1d9, one, references, lines",D31,0,0,0,0,0.511278075169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.472629970808,0,0,0,0,0,0,0,0,0,0,31
"newsgroups, windows, gmt, lines, apr, organization, subject, writes, date, path",D32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.989930555556,0,0,0,0,0,0,0,0,0,0,0,0,0,32
"a86, b8f, max, lines, date, apr, references, newsgroups, organization, subject",D33,0,0,0,0,0,0,0,0,0.99431372549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33
"a86, b8f, max, lines, date, apr, references, newsgroups, organization, subject",D34,0,0,0,0,0,0,0,0,0.988492063492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34
"max, writes, god, apr, newsgroups, article, subject, would, windows, date",D35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.20099609237,0,0,0,0,0,0,0,0.790441216499,0,0,35
"lines, apr, newsgroups, date, organization, subject, path, windows, gmt, would",D36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.343623024937,0,0,0,0,0,0,0,0.643932530619,0,0,0,0,0,36
"max, b8f, a86, 1d9, newsgroups, lines, giz, subject, organization, date",D37,0,0,0,0,0,0,0,0,0,0,0,0,0,0.274881051273,0,0,0,0,0,0.717994266794,0,0,0,0,0,0,0,0,0,0,37
"a86, b8f, max, lines, date, apr, references, newsgroups, organization, subject",D38,0,0,0,0,0,0,0,0,0.982424242424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38
"apr, god, lines, path, organization, subject, jesus, windows, date, gmt",D39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.986757990867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39
"max, b8f, a86, 1d9, giz, windows, writes, lines, apr, newsgroups",D40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0415845512973,0,0,0.852877944226,0,0,0.0945618947208,0,0,0,0,0,0,0,40
"max, b8f, lines, organization, a86, apr, newsgroups, date, path, subject",D41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.988065843621,0,0,0,0,0,0,0,0,0,41
"windows, subject, lines, apr, newsgroups, path, organization, would, date, god",D42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.983333333333,0,0,0,0,42
"max, b8f, lines, organization, a86, apr, newsgroups, date, path, subject",D43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.175614287351,0,0,0,0.811240172743,0,0,0,0,0,0,0,0,0,43
"windows, newsgroups, lines, apr, know, date, organization, path, gmt, subject",D44,0,0,0,0,0,0,0,0.978985507246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44
"windows, gmt, writes, lines, apr, newsgroups, date, organization, subject, path",D45,0,0,0,0.21293256422,0,0,0,0,0,0,0,0,0,0,0,0,0.627276756548,0,0,0,0,0,0,0,0.151754964946,0,0,0,0,0,45
"writes, lines, file, apr, newsgroups, organization, date, path, article, subject",D46,0,0,0,0,0,0,0,0,0,0,0,0,0,0.978985507246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46
"organization, apr, newsgroups, date, path, subject, gmt, lines, one, references",D47,0,0,0,0,0.992447916667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47
"apr, lines, newsgroups, date, organization, subject, path, would, one, references",D48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.984408602151,0,0,0,0,0,48
"windows, subject, apr, path, date, organization, writes, newsgroups, lines, gmt",D49,0,0,0,0,0,0,0,0,0,0.968817204301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49
"file, lines, date, path, apr, max, newsgroups, organization, subject, windows",D50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.990614886731,0,50
"max, b8f, organization, lines, a86, apr, newsgroups, date, path, subject",D51,0,0,0,0,0,0,0.110326796534,0,0,0,0,0,0,0,0,0,0,0,0,0,0.879563790821,0,0,0,0,0,0,0,0,0,51
"windows, path, date, lines, organization, subject, newsgroups, apr, references, gmt",D52,0,0,0,0.986936936937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52
"organization, date, subject, lines, apr, path, gmt, windows, references, newsgroups",D53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.206989542841,0.787707426856,0,0,0,53
"would, apr, writes, path, organization, newsgroups, lines, date, article, subject",D54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.989138576779,0,0,0,0,0,0,0,0,0,0,0,54
"windows, newsgroups, subject, jehovah, would, lines, one, apr, path, gmt",D55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.98862745098,0,0,0,0,0,0,0,0,55
"apr, lines, organization, newsgroups, date, subject, path, would, one, references",D56,0,0,0,0,0,0,0.266829802812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.723447974966,0,0,0,0,0,56
"max, mouse, b8f, a86, one, 1d9, giz, writes, jesus, apr",D57,0,0,0,0.0702534913623,0,0,0,0,0,0.0666858526115,0,0,0,0,0.0320344578936,0,0.13800121035,0,0,0.0437146671118,0,0,0.518262946055,0,0.0821277312048,0,0.0200148821199,0.0251817335191,0,0,57
"would, max, date, god, writes, gmt, use, windows, lines, one",D58,0,0,0.546986143825,0,0,0,0,0,0,0,0,0,0,0,0,0.442285886826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58
"max, a86, windows, b8f, 1d9, newsgroups, lines, subject, path, organization",D59,0,0,0,0,0,0.993240093238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59
"windows, newsgroups, subject, jehovah, would, lines, one, apr, path, gmt",D60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.983040935672,0,0,0,0,0,0,0,0,60
"path, newsgroups, date, subject, organization, apr, lines, gmt, god, references",D61,0,0,0,0,0,0,0.973148148148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61
"max, would, windows, article, b8f, apr, writes, newsgroups, lines, path",D62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.630616486205,0.112834059597,0,0,0.238182107259,0,0,0,0,0,0,0,62
"newsgroups, windows, gmt, lines, apr, organization, subject, writes, path, date",D63,0,0,0,0.437313445413,0,0,0,0,0,0,0,0,0,0,0,0,0.549159984538,0,0,0,0,0,0,0,0,0,0,0,0,0,63
"max, newsgroups, references, god, windows, gmt, apr, subject, lines, organization",D64,0,0,0,0,0,0,0.590594595807,0,0,0,0,0.0336680113671,0,0,0,0,0.364493758395,0,0,0,0,0,0,0,0,0,0,0,0,0,64
"max, image, lines, jpeg, newsgroups, date, gmt, windows, file, organization",D65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.978985507246,0,0,0,0,0,0,0,0,0,0,0,0,65
"max, b8f, a86, 1d9, 7ey, giz, 6um, qax, 7kn, 7ez",D66,0,0,0,0,0,0,0,0,0,0,0,0.999494156637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66
"one, apr, newsgroups, path, organization, gmt, subject, lines, jesus, date",D67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.317513784761,0,0.122319109641,0,0,0,0,0,0,0.550384496902,0,0,0,0,0,0,67
"writes, apr, god, newsgroups, article, subject, organization, would, windows, date",D68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9918767507,0,0,68
"max, a86, windows, b8f, 1d9, newsgroups, lines, subject, path, organization",D69,0,0,0,0,0,0.991445427729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69
"path, newsgroups, date, subject, organization, apr, lines, gmt, god, references",D70,0,0,0,0,0,0,0.975213675214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70
"windows, path, date, lines, organization, subject, newsgroups, apr, references, gmt",D71,0,0,0,0.980666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71
"max, image, lines, jpeg, newsgroups, date, gmt, windows, file, organization",D72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.993333333333,0,0,0,0,0,0,0,0,0,0,0,0,72
"max, b8f, organization, lines, a86, apr, newsgroups, date, path, subject",D73,0,0,0,0,0,0,0.192665872002,0,0,0,0,0,0,0,0,0,0,0,0,0,0.780667461332,0,0,0,0,0,0,0,0,0,73
"path, newsgroups, date, subject, organization, apr, lines, gmt, god, references",D74,0,0,0,0,0,0,0.983333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74
"windows, subject, lines, apr, newsgroups, path, gmt, would, date, organization",D75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.422749479848,0,0,0,0,0,0,0,0,0.570336939905,0,0,0,0,75
"organization, date, subject, apr, lines, path, gmt, newsgroups, windows, references",D76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.981045751634,0,0,0,76
"organization, apr, newsgroups, date, path, subject, gmt, lines, one, references",D77,0,0,0,0,0.992447916667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77
"writes, apr, god, article, newsgroups, subject, organization, would, windows, date",D78,0.242056520695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.750033874785,0,0,78
"file, lines, date, path, apr, max, newsgroups, organization, subject, windows",D79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.992140921409,0,79
"file, lines, date, path, apr, max, newsgroups, organization, subject, windows",D80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.981761006289,0,80
"organization, apr, newsgroups, date, path, subject, gmt, lines, one, references",D81,0,0,0,0,0.968817204301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81
"max, newsgroups, lines, apr, organization, date, path, subject, windows, gmt",D82,0,0,0,0,0,0,0,0,0,0,0,0,0,0.138347609763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.848319056904,82
"lines, apr, newsgroups, date, organization, subject, path, windows, would, one",D83,0,0,0,0,0,0,0,0,0,0.380854116118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.610503908574,0,0,0,0,0,83
"god, use, windows, lines, one, apr, file, newsgroups, path, subject",D84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.982738095238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84
"jehovah, gmt, file, date, path, lines, apr, subject, max, newsgroups",D85,0,0,0,0.125900534394,0,0,0,0,0,0,0,0,0,0,0.14014028861,0,0.0252551849723,0,0,0.021654436392,0,0.404140359629,0,0,0.0457766191116,0,0,0.0128326912123,0.214223569955,0,85
"apr, god, lines, path, organization, subject, jesus, windows, date, gmt",D86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.993333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86
"max, a86, windows, b8f, 1d9, newsgroups, lines, subject, path, organization",D87,0,0,0,0,0,0.988065843501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87
"newsgroups, one, apr, path, organization, gmt, subject, jesus, lines, date",D88,0,0,0,0.0802847146581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.896381952009,0,0,0,0,0,0,88
"windows, subject, lines, apr, newsgroups, path, organization, would, date, god",D89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.989605734767,0,0,0,0,89
"organization, apr, newsgroups, date, path, subject, gmt, lines, one, references",D90,0,0,0,0,0.987916666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90
"windows, organization, writes, lines, apr, newsgroups, date, path, mouse, subject",D91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.987280701754,0,0,0,0,0,0,0,91
"max, newsgroups, lines, apr, path, date, organization, subject, windows, gmt",D92,0,0,0,0.0200164270791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.971341597612,92
"organization, date, subject, lines, apr, path, gmt, windows, references, newsgroups",D93,0,0,0,0,0,0,0,0.207190940573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.778667645286,0,0,0,93
"max, newsgroups, lines, one, references, apr, path, date, organization, subject",D94,0,0,0,0.0455541455885,0,0.0106756683622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.488903915895,0.0330876668519,0,0.0387946104002,0,0.380186790105,94
"windows, path, date, lines, organization, subject, newsgroups, apr, references, gmt",D95,0,0,0,0.975833333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95
"apr, lines, newsgroups, date, organization, subject, path, would, one, references",D96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.989015151515,0,0,0,0,0,96
"windows, path, date, lines, organization, subject, newsgroups, apr, references, gmt",D97,0,0,0,0.98619047619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97
"max, a86, windows, b8f, 1d9, newsgroups, lines, subject, path, organization",D98,0,0,0,0,0,0.98440860215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98
"windows, newsgroups, subject, jehovah, would, lines, one, apr, path, gmt",D99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.989605734767,0,0,0,0,0,0,0,0,99
"windows, writes, newsgroups, lines, apr, path, date, organization, mouse, subject",D100,0,0,0,0.243041481402,0,0,0,0,0,0,0,0,0,0,0.021786654936,0,0,0,0,0,0,0,0.729782642105,0,0,0,0,0,0,0,100
"god, jesus, organization, date, subject, apr, lines, path, gmt, newsgroups",D101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.858202356219,0,0,0,0,0,0,0,0,0,0,0,0.124827946812,0,0,0,101
"windows, references, gmt, max, b8f, lines, organization, a86, newsgroups, apr",D102,0,0,0,0.801283111532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0701757170243,0,0.118076055165,0,0,0,0,0,0,0,0,0,102
"writes, apr, god, newsgroups, article, subject, organization, would, windows, date",D103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.981045751634,0,0,103
"max, b8f, a86, 1d9, 7ey, giz, 6um, qax, 7ez, 7kn",D104,0,0,0,0,0,0,0,0,0,0,0,0.399730807328,0,0.269316250908,0,0,0.239319080698,0,0,0,0,0,0,0,0,0,0,0.082879652312,0,0,104
"file, lines, date, path, apr, max, newsgroups, organization, subject, windows",D105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.982424242424,0,105
"max, files, windows, a86, one, path, newsgroups, date, subject, organization",D106,0,0.796637542391,0,0,0,0,0.193433379595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106
"path, subject, newsgroups, date, organization, a86, apr, university, lines, b8f",D107,0,0,0,0,0,0,0,0,0,0,0.994717668488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107
"path, newsgroups, date, subject, organization, apr, lines, gmt, god, references",D108,0,0,0,0,0,0,0.978985507246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108
"date, organization, references, gmt, god, use, windows, newsgroups, lines, one",D109,0,0,0,0.797037174869,0,0,0,0,0,0,0,0,0,0,0,0.192356764525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109
"max, files, a86, one, path, writes, newsgroups, apr, god, article",D110,0,0.88813760259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.107619973167,0,0,110
"organization, date, subject, apr, lines, path, gmt, newsgroups, windows, references",D111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.98619047619,0,0,0,111
"max, writes, file, apr, path, article, b8f, a86, 1d9, newsgroups",D112,0,0,0,0,0,0,0,0,0,0,0,0,0,0.809831628797,0,0,0,0,0,0.181279482315,0,0,0,0,0,0,0,0,0,0,112
"writes, organization, date, subject, lines, apr, path, gmt, windows, references",D113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.654768788747,0,0,0,0,0,0,0,0,0,0.330647877919,0,0,0,113
"organization, apr, newsgroups, date, path, subject, gmt, lines, one, references",D114,0,0,0,0,0.98066666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114
"god, use, windows, lines, one, apr, file, newsgroups, path, subject",D115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.992564102564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115
"writes, mouse, windows, subject, lines, apr, newsgroups, path, organization, would",D116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.951752222306,0,0,0.0404699999167,0,0,0,0,116
"organization, date, subject, apr, lines, path, gmt, newsgroups, windows, references",D117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.992011019284,0,0,0,117
"date, organization, references, windows, newsgroups, subject, jehovah, would, lines, one",D118,0,0,0,0.83584862763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.155262483481,0,0,0,0,0,0,0,0,118
"file, max, one, references, jesus, gmt, writes, lines, path, god",D119,0,0,0.178093479448,0.0168807712718,0.0210786426381,0,0,0,0,0,0,0,0,0.374255709001,0.0994995377373,0,0,0,0,0,0,0,0,0,0.195436917521,0.056287639686,0,0.0559981668948,0,0,119
"windows, path, apr, references, gmt, max, b8f, a86, 1d9, newsgroups",D120,0,0,0,0.956130719934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0330165668878,0,0,0,0,0,0,0,0,0,0,120
"references, newsgroups, windows, gmt, lines, apr, organization, subject, writes, path",D121,0,0,0,0.684904452609,0,0,0,0,0,0,0,0,0,0,0,0,0.308380919094,0,0,0,0,0,0,0,0,0,0,0,0,0,121
"max, b8f, lines, organization, newsgroups, a86, apr, subject, path, date",D122,0,0,0,0,0,0,0,0,0,0,0,0.0381991643161,0,0,0,0,0,0,0,0,0.959468196242,0,0,0,0,0,0,0,0,0,122
"path, subject, newsgroups, date, organization, a86, apr, university, lines, b8f",D123,0,0,0,0,0,0,0,0,0,0,0.985572139303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123
"max, lines, newsgroups, organization, apr, date, path, subject, windows, gmt",D124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.987606837607,124
"newsgroups, windows, gmt, lines, apr, organization, subject, writes, date, path",D125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.995396825397,0,0,0,0,0,0,0,0,0,0,0,0,0,125
"path, subject, newsgroups, date, organization, a86, apr, university, lines, b8f",D126,0,0,0,0,0,0,0,0,0,0,0.975213675214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126
"writes, apr, god, newsgroups, article, subject, organization, would, windows, date",D127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.993378995434,0,0,127
"windows, references, gmt, would, writes, apr, path, organization, newsgroups, lines",D128,0,0,0,0.769732272937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.222358122543,0,0,0,0,0,0,0,0,0,0,0,128
"writes, apr, god, newsgroups, article, subject, organization, would, windows, date",D129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.993803418803,0,0,129
